sub,amg_hipp,amg_vmpfc,amg_SnM,amgM,trial,condition
sub-189,0.7571740268058468,0.6001401916659534,-0.06593303301535604,-0.02288896874999999,62,CSplus2
sub-189,0.5147574184504045,0.8017494804551857,-0.11943456708399464,-0.040081772,63,CSplus2
sub-189,0.7043380171508673,0.4207953683355298,-0.24873078860258552,0.2542230875,64,CSminus2
sub-189,0.8879458289300958,0.5571883062289524,0.4741378089274261,-0.03205762075000003,65,CSminus2
sub-189,0.4469841458447239,0.4826749966623162,0.06185181821086688,-0.1532746305,66,CSplus2
sub-189,0.22580701890203397,0.04530400214344384,0.3136390805981349,0.05466814937500003,67,CSminus2
sub-189,0.5484045494538953,0.9103469273714478,-0.0009875644296616498,0.367755838625,68,CSplus2
sub-189,0.863816148572959,0.3486804785413187,0.22626937179313752,-0.07479822374999995,69,CSminus2
sub-205,0.19602093908606852,0.5640002560033609,-0.32372845381203386,0.013402803750783565,1,CSplusUS1
sub-205,0.5497864437052645,-0.80369172395916,-0.21488480806211752,-0.34409929050000004,2,CSminus1
sub-205,0.8908169935753042,0.6712191674046469,-0.17576001336546443,-0.014193344999999968,3,CSplus1
sub-205,0.7578800174331357,0.039622293933347985,0.18468780982070232,0.3913875805,4,CSplusUS1
sub-205,0.8318032423147803,-0.2802046200125675,-0.2529983674223919,0.08484789625000001,5,CSminus1
sub-205,0.8671465264409068,0.8325401622185069,0.7376805434868001,0.24105490999999998,6,CSplus1
sub-205,-0.3605946943059935,-0.5446898112303683,-0.22768762206089477,-0.14545372087500003,7,CSplus1
sub-205,0.748119800456082,-0.3238765152678985,-0.22870326438092164,-0.253269625,8,CSminus1
sub-205,0.4752004295473993,0.46903906552692615,0.5829721412089056,-0.06539277112499998,9,CSplusUS1
sub-205,0.6626932624824718,0.20333208787747542,0.6338318403548424,0.322571438375,10,CSminus1
sub-205,0.7643883800113795,0.39434144634320006,0.43479131639962065,-0.002369942875000003,11,CSplusUS1
sub-205,0.6998804987322882,-0.5729339614534619,-0.3035284849188563,-0.4168474325,12,CSplus1
sub-205,0.770603278830803,0.04621398698327715,-0.22153806507259025,0.42750195825000004,13,CSminus1
sub-205,0.1149905378425673,0.4060319818100985,0.1267324476184832,-0.187403850875,14,CSplus1
sub-205,0.43983127646363773,-0.4939098762093807,0.029232896703032002,0.18200050537499998,15,CSminus1
sub-205,0.19731409654581797,-0.2825733574151905,0.45100795885115785,-0.265141235375,16,CSminus1
sub-205,0.6181170098260812,-0.6537066909871023,-0.15859271995306556,0.37705096625,17,CSplus1
sub-205,0.2319668503482834,0.37917834166673686,0.3348386665641493,-0.02763657125,18,CSplusUS1
sub-205,0.7491950088308413,0.3343592067997846,0.5904660229013412,-0.281316963625,19,CSminus1
sub-205,0.5882273825154781,0.44139931585649106,0.7334029505411224,-0.24795523749999998,20,CSplus1
sub-205,0.8341129762495465,0.5211534394909528,0.5126385771495803,-0.06602442937500001,21,CSplus1
sub-205,0.5459344913478743,-0.6594507697733344,0.3859831497720174,0.286512704875,22,CSminus1
sub-205,0.8640353952351417,0.23015419595374378,0.902122334248926,0.06698818812500001,23,CSplus1
sub-205,0.7312083771664161,0.5696203122979459,0.7954284486871399,-0.24928150500000001,24,CSplusUS1
sub-205,0.6430989627649749,0.8835654852326138,0.386790083215343,0.147584438125,25,CSminus1
sub-205,0.8944689153741956,0.44638585498270317,0.9349133302665078,0.11672251499999997,26,CSplus1
sub-205,0.7426282301181929,0.3170659954407802,0.8340175846185267,0.2033128325,27,CSminus1
sub-205,0.479873116353499,-0.17790780397293046,0.5521134097956979,0.09278472374999999,28,CSplus1
sub-205,0.9597217495334525,0.6333567247186502,0.30707806340514004,0.13957371875000005,29,CSplus1
sub-205,0.7374866795442125,0.5315689393329961,0.8760059196091874,0.05073104375000001,30,CSminus1
sub-205,0.8049730313980819,0.6739329802855168,-0.2520605787783814,0.24382661,31,CSminusUS2
