sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-205,CSplus2,32,0.0527,0.18417218803006857,-0.21939139045018988,0.0527
sub-205,CSminus2,33,0.0621,0.2053764222517258,-0.24389197697603585,0.0621
sub-205,CSminusUS2,34,2.6807,0.3695958035095753,0.8038248637412847,2.6807
sub-205,CSplus2,35,0.0202,0.15338020226271618,-0.18336292160615553,0.0202
sub-205,CSminus2,36,0.0222,0.29208587429734284,-0.34479288779515627,0.0222
sub-205,CSplus2,37,0.0296,0.12858814411593145,-0.15433580288395002,0.0296
sub-205,CSminus2,38,0.0,0.23373410141774933,-0.2761038410680783,0.0
sub-205,CSminus2,39,0.0435,0.18905338811414293,-0.22371789664175834,0.0435
sub-205,CSplus2,40,0.0594,0.10845752953060638,-0.13073618280629887,0.0594
sub-205,CSminusUS2,41,3.2554,0.35895120065332825,0.8168724945781514,3.2554
sub-205,CSminus2,42,0.1402,0.28508337901389413,-0.33625139078932464,0.1402
sub-205,CSplus2,43,0.0,0.09198783439179188,-0.11139377085429779,0.0
sub-205,CSminusUS2,44,3.3886,0.43369936992922514,0.7295307233466285,3.3886
sub-205,CSminus2,45,0.0134,0.34398587644811246,-0.40497918020566603,0.0134
sub-205,CSplus2,46,0.0761,0.0784208172435145,-0.09542514460185603,0.0761
sub-205,CSplus2,47,0.0,0.06717493138121558,-0.08215468862885121,0.0
sub-205,CSminus2,48,0.1639,0.27601054010943515,-0.3251751076975384,0.1639
sub-205,CSplus2,49,0.0,0.05779941834873326,-0.07105978356355143,0.0
sub-205,CSminusUS2,50,3.0756,0.42827914114012444,0.73603758224595,3.0756
sub-205,CSminus2,51,0.0,0.3408697176750437,-0.4013065806191095,0.0
sub-205,CSplus2,52,0.0,0.0499415931198364,-0.061732051775898945,0.0
sub-205,CSminus2,53,0.0926,0.2743587569895571,-0.3232822652217476,0.0926
sub-205,CSminus2,54,0.0,0.2229628986663462,-0.26318862605432025,0.0
